YRMODAMI,Wind.Dir,Wind.Speed.m.per.s,Visibility,Temp.Outside.F,Temp.Dewpoint.F
2013100403,190,11,10,70,67
2013100403,190,10,10,70,66
2013100404,200,9,7,69,67
2013100404,NA,NA,NA,NA,NA
2013100405,180,8,7,68,66
2013100406,180,8,6.9,68,66
2013100406,190,8,6,68,66
2013100407,190,9,4,67,66
2013100408,200,6,3,67,66
2013100409,200,6,3,67,66
2013100409,190,8,5,67,66
2013100410,210,5,5,67,65
2013100411,200,6,3,67,65
2013100412,200,6,3,67,65
2013100412,170,6,3,68,66
2013100413,190,9,7,70,67
2013100414,230,8,10,73,67
2013100415,230,8,10,73,67
2013100415,230,7,10,76,68
2013100416,180,7,10,80,69
2013100417,190,9,10,80,67
2013100418,190,9,10,80,67
2013100418,220,17,8,75,70
2013100419,210,7,10,76,67
2013100420,190,6,10,78,68
2013100421,190,6,10,78,68
2013100421,210,6,10,77,67
2013100422,190,5,10,76,67
2013100423,130,6,10,73,67
2013100500,130,6,10,73,67
2013100500,160,6,10,73,68
2013100501,160,7,9.1,72,68
2013100502,170,7,7,72,68
2013100503,170,7,6.9,72,68
2013100503,190,6,10,73,67
2013100504,200,8,10,72,66
2013100504,NA,NA,NA,NA,NA
2013100505,190,5,10,71,66
2013100506,190,5,10,71,66
2013100506,200,5,10,71,66
2013100507,160,6,10,69,66
2013100508,170,5,9.1,69,66
2013100509,170,5,8.8,69,66
2013100509,160,6,7,68,66
2013100510,160,5,6,68,66
2013100511,160,6,5,68,66
2013100512,160,6,5,68,66
2013100512,200,7,7,70,67
2013100513,180,6,3,70,68
2013100513,200,5,7,70,68
2013100514,210,8,6,72,69
2013100515,210,8,5.6,72,69
2013100515,220,6,7,73,70
2013100516,230,7,8,76,71
2013100517,230,6,9.1,77,71
2013100518,230,6,8.8,77,71
2013100518,310,13,1,72,71
2013100519,200,5,8,72,70
2013100520,NA,0,10,73,70
2013100521,NA,0,10,73,70
2013100521,210,9,7,74,70
2013100522,210,11,10,72,66
2013100522,210,11,10,72,67
2013100523,200,9,10,71,67
2013100600,200,9,10,71,67
2013100600,200,14,4,71,68
2013100601,190,10,9.1,70,68
2013100602,190,13,8,70,68
2013100602,190,13,8,70,68
2013100603,190,13,7.5,70,68
2013100603,200,11,9.1,70,68
2013100603,190,11,9.1,70,68
2013100604,190,13,9.1,70,68
2013100604,NA,NA,NA,NA,NA
2013100605,170,14,5,68,67
2013100606,170,14,5,68,67
2013100606,180,10,6,67,66
2013100607,120,7,8,67,65
2013100608,190,3,9.1,66,65
2013100609,190,3,8.8,66,65
2013100609,230,9,1.5,64,64
2013100609,210,11,1.5,65,64
2013100610,180,10,5,66,64
2013100611,170,7,8,65,64
2013100612,170,7,7.5,65,64
2013100612,170,11,4,65,63
2013100613,150,11,9.1,65,63
2013100614,170,11,10,66,64
2013100615,170,11,10,66,64
2013100615,150,13,9.1,66,64
2013100616,160,15,10,68,66
2013100617,180,15,10,71,66
2013100618,180,15,10,71,66
2013100618,180,18,10,72,65
2013100619,180,15,2,72,66
2013100619,200,15,1,72,66
2013100620,260,15,10,63,61
2013100621,260,15,10,63,61
2013100621,250,7,9.1,63,61
2013100621,250,9,9.1,62,60
2013100622,240,10,10,59,55
2013100623,260,15,9.1,57,51
2013100700,260,15,8.8,57,51
2013100700,220,5,10,54,51
2013100701,210,9,10,54,51
2013100702,200,10,10,55,53
2013100703,200,10,10,55,53
2013100703,280,20,10,54,50
2013100704,280,10,10,52,44
2013100704,NA,NA,NA,NA,NA
2013100705,260,8,10,51,42
2013100706,260,8,10,51,42
2013100706,240,7,10,47,42
2013100707,210,8,10,47,43
2013100708,210,8,10,47,42
2013100709,210,8,10,47,42
2013100709,210,9,10,46,42
2013100710,210,9,10,47,43
2013100711,220,9,10,47,44
2013100712,220,9,10,47,44
2013100712,230,11,10,49,45
2013100713,240,16,10,51,47
2013100714,260,13,10,54,46
2013100714,270,9,10,53,47
2013100715,270,9,10,53,47
2013100715,300,14,10,55,41
2013100716,280,14,10,55,42
2013100717,270,13,10,58,43
2013100718,270,13,10,58,43
2013100718,270,11,10,60,43
2013100719,270,11,10,59,43
2013100720,300,16,10,59,43
2013100721,300,16,10,59,43
2013100721,280,9,10,59,44
2013100722,290,8,10,57,45
2013100723,280,6,10,53,45
2013100800,280,6,10,53,45
2013100800,NA,0,10,51,45
2013100801,NA,0,10,52,44
2013100802,NA,0,10,50,44
2013100803,NA,0,10,50,44
2013100803,230,3,10,47,43
2013100804,200,3,10,47,44
2013100804,NA,NA,NA,NA,NA
2013100805,NA,0,10,47,43
2013100806,NA,0,10,47,43
2013100806,NA,0,10,44,41
2013100807,NA,0,10,46,43
2013100808,NA,0,10,45,43
2013100809,NA,0,10,45,43
2013100809,NA,0,10,43,42
2013100810,NA,0,9.1,44,42
2013100811,NA,0,8,44,41
2013100812,NA,0,7.5,44,41
2013100812,NA,0,8,49,46
2013100813,50,5,10,55,49
2013100814,80,6,10,59,47
2013100815,80,6,10,59,47
2013100815,100,8,10,63,45
2013100816,150,3,10,64,44
2013100817,120,10,10,66,41
2013100818,120,10,10,66,41
2013100818,130,6,10,67,41
2013100819,130,8,10,68,41
2013100820,120,9,10,68,42
2013100821,120,9,10,68,42
2013100821,120,9,10,66,42
2013100822,60,5,10,63,43
2013100823,70,6,10,59,43
2013100900,70,6,10,59,43
2013100900,80,6,10,55,43
2013100901,70,5,10,52,43
2013100902,70,5,10,51,43
2013100903,70,5,10,51,43
2013100903,90,7,10,51,43
2013100904,90,7,10,52,44
2013100904,NA,NA,NA,NA,NA
2013100905,90,6,10,50,44
2013100906,90,6,10,50,44
2013100906,70,5,10,47,43
2013100907,100,6,10,49,43
2013100908,90,7,10,49,43
2013100909,90,7,10,49,43
2013100909,50,3,10,46,42
2013100910,50,3,10,47,43
2013100911,70,3,10,46,42
2013100912,70,3,10,46,42
2013100912,90,6,10,51,45
2013100913,100,5,10,56,47
2013100914,120,3,10,59,47
2013100915,120,3,10,59,47
2013100915,130,3,10,64,48
2013100916,990,7,10,67,49
2013100917,120,9,10,70,47
2013100918,120,9,10,70,47
2013100918,140,7,10,70,46
2013100919,140,9,10,71,45
2013100920,NA,0,10,73,46
2013100921,NA,0,10,73,46
2013100921,130,5,10,70,46
2013100922,80,6,10,65,44
2013100923,80,5,10,62,45
2013101000,80,5,10,62,45
2013101000,100,6,10,60,44
2013101001,100,6,10,58,44
2013101002,110,6,10,56,43
2013101003,110,6,10,56,43
2013101003,100,5,10,54,43
2013101004,120,5,10,54,43
2013101004,NA,NA,NA,NA,NA
2013101005,120,6,10,52,42
2013101006,120,6,10,52,42
2013101006,NA,0,10,50,42
2013101007,NA,0,10,50,42
2013101008,NA,0,10,45,41
