House.No,House.Address,Area.Floor.sf,E.Ele.kWh.1,E.Ele.kWh.2,E.Ele.kWh.3,E.Ele.kWh.4,E.Ele.kWh.5,E.Ele.kWh.6,E.Ele.kWh.7,E.Ele.kWh.8,E.Ele.kWh.9,E.Ele.kWh.10,E.Ele.kWh.11,E.Ele.kWh.12,E.Ele.kWh.13,E.Ele.kWh.14,E.Ele.kWh.15,E.Ele.kWh.16,E.Ele.kWh.17,E.Ele.kWh.18,E.Ele.kWh.19,E.Ele.kWh.20,E.Ele.kWh.21,E.Ele.kWh.22,E.Ele.kWh.23,E.Gas.Mcf.1,E.Gas.Mcf.2,E.Gas.Mcf.3,E.Gas.Mcf.4,E.Gas.Mcf.5,E.Gas.Mcf.6,E.Gas.Mcf.7,E.Gas.Mcf.8,E.Gas.Mcf.9,E.Gas.Mcf.10,E.Gas.Mcf.11,E.Gas.Mcf.12,E.Gas.Mcf.13,E.Gas.Mcf.14,E.Gas.Mcf.15,E.Gas.Mcf.16,E.Gas.Mcf.17,E.Gas.Mcf.18,E.Gas.Mcf.19,E.Gas.Mcf.20,E.Gas.Mcf.21,E.Gas.Mcf.22,E.Gas.Mcf.23
70," 441 Lowes St,    ",980,796,552,505,357,594,481,502,338,146,143,148,1097,673,833,1067,594,1195,1088,649,384,129,127,218,NA,NA,NA,23.4,33.6,19.5,12,4.7,1.9,1,1.1,1.4,4.1,10.6,18.7,25,27.1,22.8,11.8,4.6,1,1,1.2
71," 442 Lowes St,    ",1400,646,259,312,989,1586,1610,2023,927,1549,1397,1425,2010,472,308,305,821,1526,1693,2257,936,1384,1441,1280,NA,NA,NA,24.2,34.7,21.4,12.3,3.4,0.8,0.7,0.7,0.7,2.7,7.8,16.1,21.8,21.8,18.6,7.9,2.4,0.7,0.8,0.7
72,"444 Lowes St,  ",864,576,732,879,396,1259,901,801,385,214,208,769,978,546,573,506,394,525,444,492,335,326,207,118,NA,NA,NA,31.5,34.3,23.5,16,6.5,1.5,1.4,1.9,2.4,5,13.9,18.8,23.9,30.5,22.4,13.8,6.1,1.5,1.5,1.5
73,"446 Lowes St,    ",960,617,773,659,436,599,502,484,365,169,374,602,997,495,623,703,529,806,792,780,715,494,251,359,NA,NA,NA,23.6,35.2,21.4,14.6,3.3,0,0,0,0.9,3.8,11,19.4,21.6,27.4,22,11.1,3.4,0,0,0.2
74,"449  Lowes St,   ",952,458,453,473,396,513,387,392,218,170,156,232,713,525,630,584,409,560,455,365,218,91,83,88,NA,NA,NA,37.1,55.2,33.8,22.7,8,1.8,1.7,2,2.7,6,17.2,29.2,36.7,39.9,31.6,15.3,5.4,1.8,1.7,1.8
75,"451 Lowes St,   ",1124,358,414,434,319,529,403,372,212,90,92,89,524,424,435,458,339,499,468,398,374,160,82,116,NA,NA,NA,22.5,38.8,23.5,15.9,4.3,0.5,0.4,0.4,1.6,4.1,13.5,19.4,21.7,26.3,22.5,11.4,5.5,0.4,0.5,0.5
76,"457 Lowes St,  ",1288,882,521,522,483,590,549,600,327,106,99,46,775,643,593,1187,510,850,689,498,296,87,116,218,NA,NA,NA,22.5,30.7,19.1,11.8,3.6,1.1,0.7,0.6,0.8,2.7,9.1,12.9,17.5,20.8,17.1,8,3.6,0.6,0.7,0.6
77,"512 Lowes St,    ",812,435,303,320,261,365,259,209,156,119,128,345,886,257,297,341,267,356,312,261,187,137,134,143,NA,NA,NA,21,31.9,21.3,15.1,5.6,2.1,1.8,2.1,2.2,4.1,9.2,16,20.9,22,17.9,9.6,4.1,2.3,2,1.9
78,"514  Lowes St,    ",1248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.3,31.5,19.8,12,3.4,1.1,1,1.2,1.9,4.3,10.7,18.2,20.5,25.1,19.9,10.1,4.6,1,1,0.7
79,"516 Lowes St,   ",924,786,703,695,535,795,704,616,396,242,253,264,1098,646,687,740,543,834,707,606,423,443,478,516,NA,NA,NA,13,18,11,6,1.1,0.6,0.3,0.3,0.8,2.9,7.9,11.7,12.6,15.6,11.3,6.7,1.6,0.4,0.4,0.3
